1,Star Wars: The Force Awakens,BV,916257964.00,4134,247966675.00,4134,12/18/16
2,Jurassic World,Uni.,652270625.00,4291,208806270.00,4274,6/12/16
3,Avengers: Age of Ultron,BV,459005868.00,4276,191271109.00,4276,5/1/16
4,Inside Out,BV,356461711.00,4158,90440272.00,3946,6/19/16
5,Furious 7,Uni.,353007020.00,4022,147187040.00,4004,4/3/16
6,Minions,Uni.,336045770.00,4311,115718405.00,4301,7/10/16
7,The Hunger Games: Mockingjay - Part 2,LGF,281392486.00,4175,102665981.00,4175,11/20/16
8,The Martian,Fox,228167401.00,3854,54308575.00,3831,10/2/16
9,Cinderella (2015),BV,201151353.00,3848,67877361.00,3845,3/13/16
10,Spectre,Sony,199658334.00,3929,70403148.00,3929,11/6/16
11,Mission: Impossible - Rogue Nation,Par.,195042377.00,3988,55520089.00,3956,7/31/16
12,Pitch Perfect 2,Uni.,184296230.00,3660,69216890.00,3473,5/15/16
13,Ant-Man,BV,180202163.00,3868,57225526.00,3856,7/17/16
14,Home (2015),Fox,177397510.00,3801,52107731.00,3708,3/27/16
15,Hotel Transylvania 2,Sony,169611752.00,3768,48464322.00,3754,9/25/16
16,Fifty Shades of Grey,Uni.,166167230.00,3655,85171450.00,3646,2/13/16
17,The SpongeBob Movie: Sponge Out of Water,Par.,162994032.00,3680,55365012.00,3641,2/6/16
18,Straight Outta Compton,Uni.,161197785.00,3142,60200180.00,2757,8/14/16
19,The Revenant,Fox,160064599.00,3711,474560.00,4,12/25/16
20,San Andreas,WB,155190832.00,3812,54588173.00,3777,5/29/16
21,Mad Max: Fury Road,WB,153636354.00,3722,45428128.00,3702,5/15/16
22,Daddy's Home,Par.,146965624.00,3483,38740203.00,3271,12/25/16
23,The Divergent Series: Insurgent,LG/S,130179072.00,3875,52263680.00,3875,3/20/16
24,The Peanuts Movie,Fox,129995885.00,3902,44213073.00,3897,11/6/16
25,Kingsman: The Secret Service,Fox,128261724.00,3282,36206331.00,3204,2/13/16
26,The Good Dinosaur,BV,121198000.00,3749,39155217.00,3749,11/25/16
27,Spy,Fox,110825712.00,3715,29085719.00,3711,6/5/16
28,Trainwreck,Uni.,110212700.00,3171,30097040.00,3158,7/17/16
29,Creed,WB,109255851.00,3502,29632823.00,3404,11/25/16
30,Tomorrowland,BV,93436322.00,3972,33028165.00,3972,5/22/16
31,Get Hard,WB,90411453.00,3212,33803253.00,3175,3/27/16
32,Terminator: Genisys,Par.,89760956.00,3783,27018486.00,3758,7/1/16
33,Taken 3,Fox,89256424.00,3594,39201657.00,3594,1/9/16
34,Sisters,Uni.,86623660.00,2978,13922855.00,2962,12/18/16
35,Alvin and the Chipmunks: The Road Chip,Fox,84170141.00,3705,14287159.00,3653,12/18/16
36,Maze Runner: The Scorch Trials,Fox,81697192.00,3792,30316510.00,3791,9/18/16
37,Ted 2,Uni.,81476385.00,3448,33507870.00,3442,6/26/16
38,Goosebumps,Sony,80021740.00,3618,23618556.00,3501,10/16/16
39,Pixels,Sony,78747585.00,3723,24011616.00,3723,7/24/16
40,Paddington,W/Dim.,76271832.00,3355,18966676.00,3303,1/16/16
41,The Intern,WB,75764672.00,3320,17728313.00,3305,9/25/16
42,Bridge of Spies,BV,72086318.00,2873,15371203.00,2811,10/16/16
43,Paul Blart: Mall Cop 2,Sony,71038190.00,3633,23762435.00,3633,4/17/16
44,War Room,TriS,67790117.00,1945,11351389.00,1135,8/28/16
45,Magic Mike XXL,WB,66013057.00,3376,12857184.00,3355,7/1/16
46,The Big Short,Par.,65881837.00,2529,705527.00,8,12/11/16
47,The Visit,Uni.,65206105.00,3148,25427560.00,3069,9/11/16
48,The Wedding Ringer,SGem,64460211.00,3003,20649306.00,3003,1/16/16
49,Black Mass,WB,62575678.00,3188,22635037.00,3188,9/18/16
50,Vacation,WB (NL),58884188.00,3430,14681108.00,3411,7/29/16
51,The Perfect Guy,SGem,57027435.00,2230,25888154.00,2221,9/11/16
52,Joy,Fox,56119692.00,2924,17015168.00,2896,12/25/16
53,Fantastic Four,Fox,56117548.00,4004,25685737.00,3995,8/7/16
54,Focus (2015),WB,53862963.00,3323,18685137.00,3323,2/27/16
55,The Hateful Eight,Wein.,53350994.00,2938,4610676.00,100,12/25/16
56,Southpaw,Wein.,52421953.00,2772,16701294.00,2772,7/24/16
57,Insidious Chapter 3,Focus,52218558.00,3014,22692741.00,3002,6/5/16
58,Poltergeist (2015),Fox,47425125.00,3242,22620386.00,3240,5/22/16
59,Jupiter Ascending,WB,47387723.00,3181,18372372.00,3181,2/6/16
60,Sicario,LGF,46889293.00,2620,401288.00,6,9/18/16
61,The Man From U.N.C.L.E.,WB,45445109.00,3673,13421036.00,3638,8/14/16
62,"McFarland, USA",BV,44482410.00,2792,11020798.00,2755,2/20/16
63,The Gift (2015),STX,43787265.00,2503,11854273.00,2503,8/7/16
64,Everest (2015),Uni.,43482270.00,3009,7222035.00,545,9/18/16
65,The Night Before,Sony,43035725.00,2960,9880536.00,2960,11/20/16
66,Krampus,Uni.,42725475.00,2919,16293325.00,2902,12/4/16
67,Max (2015),WB,42656255.00,2870,12155254.00,2855,6/26/16
68,The Age of Adaline,LGF,42629776.00,3070,13203458.00,2991,4/24/16
69,The Longest Ride,Fox,37446117.00,3371,13019686.00,3366,4/10/16
70,Spotlight,ORF,37337021.00,1089,295009.00,5,11/6/16
71,The Boy Next Door,Uni.,35423380.00,2615,14910105.00,2602,1/23/16
72,Pan,WB,35088320.00,3515,15315435.00,3515,10/9/16
73,Hot Pursuit,WB,34580201.00,3037,13942258.00,3003,5/8/16
74,Concussion (2015),Sony,34255169.00,2841,10513749.00,2841,12/25/16
75,Brooklyn,FoxS,34221253.00,962,187281.00,5,11/4/16
76,The DUFF,LGF,34030343.00,2622,10809149.00,2575,2/20/16
77,Woman in Gold,Wein.,33307793.00,2011,2091551.00,258,4/1/16
78,The Second Best Exotic Marigold Hotel,FoxS,33078266.00,2022,8540370.00,1573,3/6/16
79,Unfriended,Uni.,32482090.00,2775,15845115.00,2739,4/17/16
80,Entourage,WB,32363404.00,3108,10283250.00,3108,6/3/16
81,Paper Towns,Fox,32000304.00,3031,12650140.00,3031,7/24/16
82,Chappie,Sony,31569268.00,3201,13346782.00,3201,3/6/16
83,Crimson Peak,Uni.,31090320.00,2991,13143310.00,2984,10/16/16
84,A Walk in the Woods,BG,29504281.00,2158,8246267.00,1960,9/2/16
85,Point Break (2015),WB,28661671.00,2910,9800252.00,2910,12/25/16
86,Sinister 2,Focus,27740955.00,2799,10542116.00,2766,8/21/16
87,The Last Witch Hunter,LG/S,27367660.00,3082,10812861.00,3082,10/23/16
88,No Escape,Wein.,27288872.00,3415,8111264.00,3355,8/26/16
89,Ricki and the Flash,TriS,26822144.00,2064,6610961.00,1603,8/7/16
90,The Woman in Black 2: Angel of Death,Rela.,26501323.00,2602,15027415.00,2602,1/2/16
91,Run All Night,WB,26461644.00,3171,11012305.00,3171,3/13/16
92,Love the Coopers,LGF,26302731.00,2603,8317545.00,2603,11/13/16
93,The Lazarus Effect,Rela.,25801047.00,2666,10203437.00,2666,2/27/16
94,Ex Machina,A24,25442958.00,2004,237264.00,4,4/10/16
95,In the Heart of the Sea,WB,25020758.00,3103,11053366.00,3103,12/11/16
96,The Gallows,WB,22764410.00,2720,9808463.00,2720,7/10/16
97,Hitman: Agent 47,Fox,22467450.00,3273,8326530.00,3261,8/21/16
98,Project Almanac,Par.,22348241.00,2900,8310252.00,2893,1/30/16
99,Black or White,Rela.,21571189.00,1823,6213362.00,1823,1/30/16
100,Aloha,Sony,21067116.00,2815,9670235.00,2815,5/29/16
